Variable,SMD
Race: Black,0.013788960455372817
Region: Sul,0.02547220673593098
Region: Nordeste,-0.02657064228857443
Race: Asian,0.04237086631968474
Race: Indigenous,-0.04312896595419799
Male,0.04611456555811306
Water network,0.058694470765062644
Currently breastfeeding,0.0614654631215754
"Maternal age, years",0.0841091001171665
Region: Centro-Oeste,-0.08456757303736846
Caesarean,0.08511062045643494
Race: White,0.08981283822905459
Urban,0.09387902868775334
Race: Mixed/Parda,-0.09836143571282328
Region: Norte,-0.10144454868836252
"Birth weight, g",-0.1177335422396731
Cow milk,-0.11993171472837551
"Age, months",-0.12900769653368024
"Gestational age, weeks",-0.14604148929400612
Adequate sanitation,0.16405941579867722
Region: Sudeste,0.1746665729336479
Formula,0.24025427802154428
IEN quintile,0.26652674003864246
Vitamin A co-supplement,0.3626418578224816
Multivitamin co-supplement,0.627404091807455
Vitamin D co-supplement,0.7386426980206965
