Outcome,Measure,Primary estimate,Primary CI 95%,IPCW estimate,IPCW CI 95%,IPCW p,Response rate,Mean weight,Weight range,N respondents
Haemoglobin (g/dL),beta,0.1242261717921385,"[0.0247, 0.2238]",0.11652770775914992,"[0.0140, 0.2191]",0.025961439167987307,60.6%,1.000,"[0.683, 1.964]",2788
Ferritin (ng/mL),beta,3.256424881122579,"[0.7285, 5.7844]",3.1943918100209547,"[0.7552, 5.6336]",0.010264949465369502,59.3%,0.999,"[0.705, 1.983]",2728
Haematocrit (%),beta,0.29935316855802235,"[0.0079, 0.5908]",0.3096616597867108,"[0.0086, 0.6107]",0.043800304535771065,60.6%,1.000,"[0.683, 1.964]",2788
MCV (fL),beta,0.9430267469077933,"[0.4157, 1.4704]",0.9480687251424382,"[0.4009, 1.4953]",0.0006841873766580066,60.6%,1.000,"[0.683, 1.964]",2788
MCH (pg),beta,0.1066151738169445,"[-0.1867, 0.4000]",0.049487278973017704,"[-0.2678, 0.3667]",0.7598103851123886,60.6%,1.000,"[0.683, 1.964]",2788
MCHC (g/dL),beta,0.05568954576456843,"[-0.0664, 0.1778]",0.025651227493620976,"[-0.0926, 0.1439]",0.67074195518348,60.6%,1.000,"[0.683, 1.964]",2788
RDW (%),beta,-0.24417296456189477,"[-0.4114, -0.0769]",-0.2535548274716568,"[-0.4205, -0.0866]",0.0029149980655231666,60.5%,1.000,"[0.682, 1.944]",2785
C-reactive protein (mg/L),beta,-0.0496481164585188,"[-0.9721, 0.8728]",-0.03505445430124976,"[-0.9767, 0.9066]",0.9418362362152362,59.9%,1.000,"[0.701, 2.140]",2756
Anaemia (Hb < 10.5),PR,0.7180799236178391,"[0.5638, 0.9145]",0.725257932334779,"[0.5678, 0.9265]",0.010128806915225316,60.6%,1.000,"[0.683, 1.964]",2788
Iron deficiency (ferritin < 12),PR,0.8306602185358847,"[0.7168, 0.9626]",0.843355933281867,"[0.7299, 0.9744]",0.020784026330024682,59.3%,0.999,"[0.705, 1.983]",2728
Elevated CRP (> 5 mg/L),PR,0.7239730197137464,"[0.5765, 0.9092]",0.7124118210373328,"[0.5680, 0.8936]",0.0033519246068192043,59.9%,1.000,"[0.701, 2.140]",2756
