Outcome,Measure,Estimate,CI 95% (analytical),p (analytical),CI 95% (bootstrap),p (bootstrap),N,BH-FDR (boot)
Haemoglobin (g/dL),beta,0.1242261717921385,"[0.0247, 0.2238]",0.014460059774125301,"[0.0214, 0.2223]",0.011,2788,0.012833333333333334
Ferritin (ng/mL),beta,3.256424881122579,"[0.7285, 5.7844]",0.011577786906332665,"[0.8643, 5.8328]",0.009,2728,0.012833333333333334
Haematocrit (%),beta,0.29935316855802235,"[0.0079, 0.5908]",0.04407523539380031,"[0.0209, 0.5852]",0.035,2788,0.035
MCV (fL),beta,0.9430267469077933,"[0.4157, 1.4704]",0.00045706254173011665,"[0.3906, 1.5158]",0.0,2788,0.0
MCH (pg),beta,0.1066151738169445,"[-0.1867, 0.4000]",0.47628105566146983,"[-0.1923, 0.4064]",0.451,2788,
MCHC (g/dL),beta,0.05568954576456843,"[-0.0664, 0.1778]",0.3712167454084032,"[-0.0703, 0.1788]",0.394,2788,
RDW (%),beta,-0.24417296456189477,"[-0.4114, -0.0769]",0.004217004594308078,"[-0.4105, -0.0787]",0.004,2785,
C-reactive protein (mg/L),beta,-0.0496481164585188,"[-0.9721, 0.8728]",0.9159837884580867,"[-0.8987, 0.9108]",0.907,2756,
Anaemia (Hb < 10.5),PR,0.7180799236178391,"[0.5638, 0.9145]",0.007278116268616177,"[0.5600, 0.8997]",0.003,2788,0.007
Iron deficiency (ferritin < 12),PR,0.8306602185358847,"[0.7168, 0.9626]",0.013604334084687381,"[0.7109, 0.9608]",0.01,2728,0.012833333333333334
Elevated CRP (> 5 mg/L),PR,0.7239730197137464,"[0.5765, 0.9092]",0.00544472591933438,"[0.5771, 0.8981]",0.003,2756,0.007
